,BNF,Drug Examples," 
Route 
 ","
Risks/ Cautions/Contraindications 
",Recommendations," 
Notes 
 "
,Proton Pump inhibitors,"Omeprazole, Lansoprazole, Esomeprazole, Pantoprazole, Rabeprazole",Oral,"Cessation or omission of dose may worsen control of gastric acid, leading to increased risk of aspiration perioperatively. 
May need a reduced dose in liver impairment and following liver resection.","Continue; ensure dose is given on morning of surgery. 
Omeprazole may be given by intravenous injection (IV )if patient is Nil by Mouth post op.","In patients with uncontrolled reflux, the BNF advises omeprazole 40mg orally the evening prior to surgery and 40mg 2-6 hours before surgery."
,Adsorbents and bulk forming drugs,Loperamide Co-phenotrope," 
Oral","Contraindicated in ileus.1 
Use with caution in patients prescribed opiates or ondansetron post operatively as may worsen constipation.","Continue in patients with ongoing diarrhoea, monitor regularly for constipation. 
Avoid in bowel surgery."," 
Stop in patients with normal bowel motions, particularly those on opiates or ondansetron post operatively."
,Aminosalicylates,Mesalazine Sulfasalazine Olsalazine," 
Oral","
Increased risk of blood dyscrasias post operatively. 
May worsen condition if doses missed.","Continue 
Ensure dose is given on morning of surgery 
Monitor FBC", 
,"Drugs affecting the immune response 
","
Azathioprine Ciclosporin Methotrexate Infliximab Adalimumab",Oral / SC/ IV,"Risk of worsening of condition if doses missed. 
Patients may be more susceptible to infections or develop more severe infections.","Continue. 
Discontinue if serious post operative infection occurs.","May be used following organ transplantation, risk of rejection if doses missed. See section 8.2.2"
,Laxatives,"Laxido® Lactulose Senna Docusate Fybogel® 
",Oral,Some oral preparations require to be made up in water. Fluid intake is undesirable immediately prior to surgery.,"Consider withholding Laxido and Fybogel on morning of surgery due to the fluid quantities required to administer. Consider withholding as bowel prep plan may be in place prior to surgery.",
,Other drugs used in constipation,Linaclotide,Oral,Contraindicated in intestinal perforation or bowel obstruction and inflammatory diseases of the gastro- intestinal ( GI ) tract.1,,
,Management of anal fissure.,Glyceryl trinitrate Ointment," 
Topical 
 ","
Absorption of GTN ointment may potentiate side effects such as headache and hypotension 
",Avoid on day of surgery.,   
,Bile acid sequestrants.,Cholestyramine,Oral,"Cholestyramine must be made up in water, risk of aspiration if given on morning of surgery",,
,Cardiac Glycosides,Digoxin,"Oral 
 ","Risk of arrhythmias, embolism, cardiac failure and poor tissue healing if omitted. 
Good history of safe use for AF and CCF perioperatively 2","Continue. 2 
Ensure dose is given on morning of surgery", 
,"Thiazide diuretics, Loop Diuretics","Indapamide Bendroflumethiazide 
Furosemide Bumetanide","Oral 
 ","May cause hypokalaemia (correct pre-operatively if necessary) 2 3 4 
May cause hypokalaemia (correct pre-operatively if necessary) 2 3 4","Continue 2 3 4 Ensure dose is given on morning of surgery 
Continue 2 3 4 Ensure dose is given on morning of surgery", 
,"Potassium sparing diuretics, Aldosterone antagonists","Spironolactone Amiloride 
Eplerenone 
Co-amilofruse Co-amilozide Navispare® 
",Oral,Tissue damage and reduced kidney perfusion in immediate post-operative period may lead to hyperkalaemia (but no clear evidence) 3 4,Consider withholding dose on morning of surgery. 3 4,
,Anti-arrhythmic Drugs,Amiodarone Flecainide Dronedarone,Oral,"Risk of arrhythmias greater than detrimental effects of continuing drug through surgery. 3 Can prolong duration of action of non-depolarising neuromuscular blockers. 3 
Amiodarone – Risk of atropine resistant bradycardia, hypotension and pro-arrhythmic effect. More recent data suggests safe for use. Impractical to discontinue due to long halflife. 2 3 5 6","Continue. 2 3 4 5 6 
Ensure dose is given on morning of surgery",
,Adrenoceptor blocking drugs,Atenolol Metoprolol Bisoprolol Sotalol Propranolol Carvedilol,Oral,"Patients at risk of coronary artery disease have substantially reduced mortality and cardiovascular events following discharge after non-cardiac surgery if beta blockers are continued. 8 
Beta blockers may counteract tachycardia and increased BP provoked by surgery and anaesthesia in patients with hypertension. 3 
Abrupt withdrawal may cause side- effects which may not manifest until 12- 72 hours after discontinuation and may increase morbidity and mortality. 2 5 6 
Continuation of beta blockers is associated with a more stable haemodynamic profile, reduced incidence of arrhythmias, myocardial ischaemia and MI. 6 
Beta blockers may reduce the risk of major perioperative cardiovascular events but increase the risk of bradycardia and hypotension needing treatment. 9 10 
Increased risk of CVA if patients are over-treated with beta blockers or commenced on a beta blocker immediately prior to operation. 11","Continue. 23456789 
Ensure dose is given on morning of surgery 
Consider reducing dose if patient is hypotensive or bradycardic.",
,Vasodilator antihypertensive drugs,Hydralazine," 
Oral","
No specific issues noted","Continue. 4 7 
Ensure dose is given on morning of surgery", 
,Centrally acting antihypertensive drugs,Clonidine Methyldopa Moxonidine," 
Oral 
 ",Risk of severe rebound hypertension if clonidine is withdrawn suddenly. 2 6 Avoid abrupt withdrawal12,"Continue. 2 4 6 7 
Ensure dose is given on morning of surgery",   
,Alpha Blockers,"Indoramin Prazosin Terazosinr 
Phenoxybenzamine","Oral 
Oral 
 ","May cause Intra-operative floppy iris syndrome. 1 13 
Patients may be at risk of acute urinary retention if stopped.","Discontinue 1-2 weeks prior to cataract surgery. 13 
Continue in other types of surgery. 4 7 Ensure dose is given on morning of surgery 
Discuss pre operative management with Consultant/Surgeon","See also BNF section 7.4.1 
Irreversible non selective alpha blocker. Half life 24 hours"
